file_names,original_script,fluency,spoken_text,remarks
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_0,树枝上有一个鸟窝,3,枝上有一个鸟窝,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_1,鸟儿们住在鸟窝里,3,儿们坐在鸟窝里,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_10,我今年七岁,2,我 见面 七,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_11,我是阳光小学一年级的学生,3,我是阳光小学一念级的学生,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_12,学校就在我家不远的地方,3,学校具 在我家不远的狄 方,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_13,学校又大又美丽,2,学校有大又 魅力,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_14,学校也很干净,3,学校也很干京,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_15,我爱我的学校,3,我 要 我的学校,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_16,文云是我的朋友,3,问运 是我的朋友,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_17,有一次 她伤心地哭了,3,又一课  她上心地哭了,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_18,因为她丢了钱包,3,因为她对了钱,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_19,我很同情她,3,我很同情她,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_2,一片绿叶浮在水中间,2,一 叶浮在水中间,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_20,我约她去食堂,3,我月她去森 堂,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_21,我买了一碗粥给她吃,2,我蛮 了 玩特 各 她吃,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_22,我还买了一包牛奶给文云,2,我还买了一包 您 牛 个 问云,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_23,文云抱了我一下 跟我说 谢谢你,3,问云宝了我一下 跟我说 谢谢你,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_24,看到朋友开心起来 我很快乐,3,看到朋友可 开心起来 我很快乐,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_25,爸爸妈妈说 当朋友有需要 你应该关心他们,3,爸爸妈妈说 丁 朋友 需要 你应该关心他们,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_26,可以帮助到别人 我很骄傲,2,可以变 冰 到冰人 我很骄傲,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_3,一只青蛙蹲坐在叶子上,4,一只青蛙蹲坐在叶子上,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_4,公园里 水池边,3,,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_5,一 二 三 四,4,,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,3,,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_7,他们都在大声唱歌,2,他们 他们 在大声常,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_8,小鸭子游泳 也呱呱叫,3,小鸭子 又用  也呱呱叫,
004dedbd-4beb-f8ec-7a9c-09831c9ddbbc_9,我的名字是张四光,2,华的名字是常四光,
08dae734-723f-5a53-0490-4b02d8bfcc06_0,树枝上有一个鸟窝,3,,
08dae734-723f-5a53-0490-4b02d8bfcc06_1,鸟儿们住在鸟窝里,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_10,我今年七岁,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_11,我是阳光小学一年级的学生,3,我是言光小学一年级的学生,
08dae734-723f-5a53-0490-4b02d8bfcc06_12,学校就在我家不远的地方,3,学校就在我家不园的地方,
08dae734-723f-5a53-0490-4b02d8bfcc06_13,学校又大又美丽,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_14,学校也很干净,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_15,我爱我的学校,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_16,文云是我的朋友,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_17,有一次 她伤心地哭了,3,有一次 她上 伤心地哭了,
08dae734-723f-5a53-0490-4b02d8bfcc06_18,因为她丢了钱包,2,以闻 疑问 她 吨 了钱包,
08dae734-723f-5a53-0490-4b02d8bfcc06_19,我很同情她,3,我很同轻她,
08dae734-723f-5a53-0490-4b02d8bfcc06_2,一片绿叶浮在水中间,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_20,我约她去食堂,3,我月她去次食堂,
