file_names,original_script,remarks,spoken_text,fluency
01ad66f5-7515-e990-ea6f-f0a2b3bd3f39_0.wav,<unc>மரம் இருக்கிறான் <unc>,,மருங்கு இக்குரான் ,2
2843ee95-4b03-a39d-2370-d4a5c07d9e93_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,<unc>றையில் பெரிய மரம் இன் திய ,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,அந்த மரங்கலையில் <unc>,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_2.wav,அந்தக்கூட்டில் ஒரு பறவை வாழ்கிறது.,,அந்தக்கட்டில் ஓ<unc> பற<unc> வாழ்<unc>,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_3.wav,குளத்தில் சில தாமரை இலைகள் மிதக்கின்றன.,,<UNC>-ன <UNC>-ரத்தில் <UNC>- இ,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_4.wav,ஒரு தவளை ஒரு தாமரை இலையின் மீது துள்ளிக்குதித்து அமர்ந்தது.,,வாத்து <UNC>ன் <UNC>தி த<UNC>,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_5.wav,அந்தத் தவளையும் பறவையும் ஏதோ பேசுகின்றன.,,<UNC> அந்த வாத்து பார்த்தா கலா மூத்து மு<UNC>கம் ஆத்தி<UNC> ,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,என் என் பெயர் த,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_7.wav,ஒரு வாத்து நீந்திக்கொண்டிருந்தது.,,<UNC>ழரசன் என் <UNC> ,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,வாய்த்து நான் பெரிய இட இத்த  பள்ளிய <UNC> த்து நீல<UNC>,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_9.wav,"குளத்தைச் சுற்றி நின்று,",,<UNC> பள்ளி உனக்கு  வத்தி வித்தி ஆரு<UNC> பள்ளி ,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_10.wav,"'ஓ, வாத்து!' பாடலைப் பாடுகிறார்கள்.",,<UNC> பள்ளி உனக்கு  வத்தி வித்தி ஆரு<UNC> பள்ளி ,1
2843ee95-4b03-a39d-2370-d4a5c07d9e93_11.wav,என் பெயர் தமிழரசன்.,,பார்க்கு<UNC> பண<UNC> இத்<UNC> நல்<UNC> இவள் இச<UNC>கமாக ,1
5782e2b0-f197-18cf-61cf-0008954b5741_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,<UNC>லத்தை வயில் ஒரு பெறிய மரம் இரண் இரண்கிறது ,2
5782e2b0-f197-18cf-61cf-0008954b5741_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,அந்து மரக்கி மரக்கிளையில் மராகிய மரக்கிளையில் ஒரு சூது சூது இரன்கிறது,2
5782e2b0-f197-18cf-61cf-0008954b5741_2.wav,அந்தக்கூட்டில் ஒரு பறவை வாழ்கிறது.,,அந்து கூடி கூடில் ஒரு பரன் பரண் பறவை வா வாழ் வாழ்கி வாழ்கிறது ,2
