file_names,original_script,remarks,spoken_text,fluency
0adb5040-0a2d-32c6-1069-f21c0a1322d1_0.wav,Burung tinggal di dalam sarang.,,Burung tinggal di dalam sarang.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_1.wav,Sarang itu di atas dahan pokok.,,Sarang itu di atas dahan pokok.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_2.wav,Katak berehat di atas daun.,,Katak berehat di atas daon.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_3.wav,Daun itu terapung-apung di kolam.,,Daon itu terpong-apong di kolam.,3
0adb5040-0a2d-32c6-1069-f21c0a1322d1_4.wav,"Ini Dini, Dino dan Akim.","The words ""Ini Dini"" might possibly be wrongly cut out from the clip. It can be heard from the intonation of the student reading.",Dino dan Akim.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_5.wav,Mereka bermain di tepi kolam.,,Mereka bermain di tepi kolam.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_6.wav,Mereka melihat itik berenang.,,Mereka melihat itek berenang.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_7.wav,"Mereka menyanyi lagu 'Oh, Itik!'",,"Mereka menyanyi lagu 'Oh, Itek!'",4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_8.wav,Nama saya Syakir.,"The word ""nama"" might possibly be wrongly cut out from the clip, which can be heard in the clip.",ma saya Syaker.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_9.wav,Saya berusia tujuh tahun.,,Saya berusia tujoh tahon.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_10.wav,Saya murid darjah satu di Sekolah Rendah Ria.,,Saya mured darjah satu di Sekolah Rendah Ria.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_11.wav,Sekolah saya di Bedok.,,Sekolah saya di Bedok.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_12.wav,Sekolah saya besar dan cantik.,,Sekolah saya besar dan cantik.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_13.wav,Sekolah saya juga bersih.,"The words ""Sekolah saya"" might possibly be wrongly cut out from the clip. The word ""sekolah saya"" was read clearly in the next clip.",Juga bersih.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_14.wav,Saya suka sekolah saya.,,Saya suka sekolah saya.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_15.wav,"Kawan saya, Ana, sedang menangis.","The words ""Kawan saya, Ana"" might possibly be wrongly cut out from the clip. ""Kawan saya, Ana"" is easier to read as compared to the word ""menangis""","na, sedang menangis.",4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_16.wav,Dia sangat sedih kerana dompetnya hilang.,,Dia sangat sedeh kerana dompetnya hilang.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_17.wav,Saya kasihan melihat Ana.,,Saya kesihan melihat Ana.,3
0adb5040-0a2d-32c6-1069-f21c0a1322d1_18.wav,Saya membawa Ana ke kantin sekolah.,,Saya membawa Ana ke kantin sekolah.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_19.wav,Saya membelikan Ana semangkuk mi soto.,"The words ""Saya membelikan"" might possibly be wrongly cut out from the clip",belikan Ana semangkuk mi soto.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_20.wav,Saya juga membeli sekotak susu untuk Ana.,,Saya juga membeli sekotak susu untuk Ana.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_21.wav,Ana memeluk saya dan mengucapkan terima kasih.,,Ana memeluk saya dan mengucap terima kasih.,3
0adb5040-0a2d-32c6-1069-f21c0a1322d1_22.wav,Saya suka melihat kawan saya gembira.,,Saya suka melihat kawan saya gembira.,4
0adb5040-0a2d-32c6-1069-f21c0a1322d1_23.wav,"Kata ibu, kita mesti menolong kawan kita jika mereka dalam kesusahan.",,"Kata ibu, kita mesti menolong kawan kita jika mereka di kesusahan.",3
0adb5040-0a2d-32c6-1069-f21c0a1322d1_24.wav,Saya bangga dapat menolong Ana.,,Saya bangga dapat menolong Ana.,4
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_0.wav,Burung tinggal di dalam sarang.,,Burong tinggal di dalam sarang.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_1.wav,Sarang itu di atas dahan pokok.,,Itu di atas dahan pokok.,4
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_2.wav,Katak berehat di atas daun.,,Katak berahat di atas daun.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_3.wav,Daun itu terapung-apung di kolam.,,Daun itu terapung-apung di kolam.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_4.wav,"Ini Dini, Dino dan Akim.","The word ""Akim"" was not clear","Ini Dini, Dino dan",3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_5.wav,Mereka bermain di tepi kolam.,,Mereka bermaen di tepi kolam.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_6.wav,Mereka melihat itik berenang.,,Mereka melihat itik berenang.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_7.wav,"Mereka menyanyi lagu 'Oh, Itik!'",,"Mereka menyanyi lagu 'Oh, Itek!'",3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_8.wav,Nama saya Syakir.,,Nama saya Say.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_9.wav,Saya berusia tujuh tahun.,,Saya berusa tajoh tahun.,2
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_10.wav,Saya murid darjah satu di Sekolah Rendah Ria.,,Saya murid darjah satu di Sekolah Redah Rai.,2
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_12.wav,Sekolah saya besar dan cantik.,,Sekolah saya besar dan cantek.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_13.wav,Sekolah saya juga bersih.,,Sekolah saya juga bersia.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_14.wav,Saya suka sekolah saya.,,Saya suka sekolah saya.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_15.wav,"Kawan saya, Ana, sedang menangis.","The word ""Kawan"" might possibly be wrongly cut out from the clip. ""Kawan"" was read clearly by student in previous clip.","saya, Ana, sedang menangis.",2
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_16.wav,Dia sangat sedih kerana dompetnya hilang.,,Dia sangat sedih kerana dompetnya hilang.,2
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_17.wav,Saya kasihan melihat Ana.,,Saya kiasan melihat Ana.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_18.wav,Saya membawa Ana ke kantin sekolah.,,Saya membawa Ana ke kantin sekolah.,4
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_19.wav,Saya membelikan Ana semangkuk mi soto.,,Saya mengambil Ana semanokok mi soto.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_20.wav,Saya juga membeli sekotak susu untuk Ana.,,Saya juga membeli sekotak susu antuk Ana.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_21.wav,Ana memeluk saya dan mengucapkan terima kasih.,,Ana meluk saya dan mengucapakan terima kasih.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_22.wav,Saya suka melihat kawan saya gembira.,,Saya suka melihat kawan saya gembira.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_23.wav,"Kata ibu, kita mesti menolong kawan kita jika mereka dalam kesusahan.","""Kata ibu"" might possibly be wrongly cut out from the clip",kita mesti menolong kawan kita jika meraka dalam kesusahan.,3
0b9e5aa6-6068-8b85-9cb0-c84114daae3b_24.wav,Saya bangga dapat menolong Ana.,"""Saya"" wrongly cut out from the clip, which can be heard in the clip",bangga dapat menolong Ana.,3
