file_names,original_script,spoken_text,fluency
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_002_Line_1.wav,树枝上有一个鸟窝,树枝上有一个小窝 鸟窝,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_002_Line_2.wav,鸟儿们住在鸟窝里,鸟儿们住在鸟窝里,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_002_Line_3.wav,一片绿叶浮在水中间,一片绿也 叶 浮在水中间,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_002_Line_4.wav,一只青蛙蹲坐在叶子上,一只青蛙 盾 坐在叶子上,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_1.wav,公园里 水池边,公园里 水池边,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_2.wav,一 二 三 四,亿 二 三 四,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_3.wav,妹妹 哥哥 弟弟三个人 和一只小鸭子,妹妹 哥哥 弟弟三个人 和一只小鸭子,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_4.wav,他们都在大声唱歌,他们多在大声唱歌,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_005_Line_5.wav,小鸭子游泳 也呱呱叫,小鸭子 游 游泳 也呱呱叫,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_1.wav,我的名字是张四光,我的名字是张四光,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_2.wav,我今年七岁,我今年七岁,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_3.wav,我是阳光小学一年级的学生,我是阳光小学 艺 年级的学生,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_4.wav,学校就在我家不远的地方,学校就在我家不园 的地方,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_5.wav,学校又大又美丽,学校有 大又美丽,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_6.wav,学校也很干净,学校也 痕 干 净,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_008_Line_7.wav,我爱我的学校,我爱我的学校,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_1.wav,文云是我的朋友,文云是我的朋友,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_2.wav,有一次 她伤心地哭了,有一次 她伤心地哭了,4
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_3.wav,因为她丢了钱包,因位 她丢了钱包,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_4.wav,我很同情她,我痕 同 轻 她,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_5.wav,我约她去食堂,我约她去食堂,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_6.wav,我买了一碗粥给她吃,我买了一玩 粥给她吃,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_7.wav,我还买了一包牛奶给文云,我还买了一包牛奶给文运,3
0dc73844-8d4f-2b00-75f6-c6bc3d267377Text_011_Line_8.wav,文云抱了我一下 跟我说 谢谢你,文玉  保 了我 亿 下 跟我说 谢谢你,2
