file_names,original_script,remarks,spoken_text,fluency
128a7c56-24b1-813f-b917-5908e93342c4_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,Assisted by facilitator ,குரக்கரையில் ஒரு பெரிய மரம் இருக்குது,1
128a7c56-24b1-813f-b917-5908e93342c4_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,Assisted by facilitator ,அந்த மரக்கிலையில் ஒரு கூ இருக்குது ,1
128a7c56-24b1-813f-b917-5908e93342c4_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,Assisted by facilitator ,பூங்காவில் ஓரத்தில் இருந்து குள்த்தில்,2
128a7c56-24b1-813f-b917-5908e93342c4_7.wav,ஒரு வாத்து நீந்திக்கொண்டிருந்தது.,Assisted by facilitator ,ஒரு வாத்து நீந்தி ,2
128a7c56-24b1-813f-b917-5908e93342c4_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",Assisted by facilitator ,அந்த்த வாத்து ஒரு கல் கால்லா தி முருக்கன் ஆக்கிய மூவரும் ,1
128a7c56-24b1-813f-b917-5908e93342c4_9.wav,"குளத்தைச் சுற்றி நின்று,",Assisted by facilitator ,குலத்தெ சுத்தி நின்றி நின்ரு ,1
128a7c56-24b1-813f-b917-5908e93342c4_10.wav,"'ஓ, வாத்து!' பாடலைப் பாடுகிறார்கள்.",Assisted by facilitator ,ஒ வாத்து பாட டுகிறார்கள் ,1
1cbc9783-9ba9-86a3-c578-f7e5ecd08ede_4.wav,ஒரு தவளை ஒரு தாமரை இலையின் மீது துள்ளிக்குதித்து அமர்ந்தது.,,தவல்ல இர தமர் இள்ளையி மித தள்ளக் அமர்த்தி,2
1cbc9783-9ba9-86a3-c578-f7e5ecd08ede_5.wav,அந்தத் தவளையும் பறவையும் ஏதோ பேசுகின்றன.,,தவல்லே பற பறலேயு இதர்,2
1cbc9783-9ba9-86a3-c578-f7e5ecd08ede_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,வத்தல்தா பத்தா கால் மத்து மின்கண் ஆக்கிய மவ் <UNC>,2
1cbc9783-9ba9-86a3-c578-f7e5ecd08ede_11.wav,என் பெயர் தமிழரசன்.,,பெயற் தமர் தமர்சன் ,3
1cbc9783-9ba9-86a3-c578-f7e5ecd08ede_12.wav,எனக்கு ஏழு வயது.,,<UNC> ரன் வயது,3
1cbc9783-9ba9-86a3-c578-f7e5ecd08ede_13.wav,நான் ரியா தொடக்கப் பள்ளியில் தொடக்கநிலை ஒன்று மாணவர்.,,ரா ரியா நா ரியா இதா பால்ளியில் இதக இரா மாணவன் ,2
22441cc8-1677-9261-b609-a18b2e19d41b_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,கிர குலகிரியில் ஒரு பெரிய மரம் இருக்கிறது ,3
22441cc8-1677-9261-b609-a18b2e19d41b_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,அந்த மரக்கிலையில் ஒரு கொடு கூடு இருக்கிறது,3
22441cc8-1677-9261-b609-a18b2e19d41b_2.wav,அந்தக்கூட்டில் ஒரு பறவை வாழ்கிறது.,,அந்தக் கட்டில் ஒரு பேர் பேரவை பறவை வர் வருகிறது ,3
22441cc8-1677-9261-b609-a18b2e19d41b_3.wav,குளத்தில் சில தாமரை இலைகள் மிதக்கின்றன.,,குலத்தில் சில தம தாமரை இல்லை இளைக்கல் மிதக்க மிதக்கின்ரன ,2
22441cc8-1677-9261-b609-a18b2e19d41b_4.wav,ஒரு தவளை ஒரு தாமரை இலையின் மீது துள்ளிக்குதித்து அமர்ந்தது.,,ஒரு தவளை ஒரு தமாரை இலையின் மீதி துள்ளி துள்ளிக்கிறது ,3
22441cc8-1677-9261-b609-a18b2e19d41b_5.wav,அந்தத் தவளையும் பறவையும் ஏதோ பேசுகின்றன.,,அந்த தவரையில் தவரையு பறவையு  ஏதா பசை பேசுகின்றன,2
22441cc8-1677-9261-b609-a18b2e19d41b_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,பூங்காவின் ஒரத்தில் அருந்து தலைத்தில்,3
22441cc8-1677-9261-b609-a18b2e19d41b_7.wav,ஒரு வாத்து நீந்திக்கொண்டிருந்தது.,,தா வாத்தை நீந்தி க்கிக்கொண்டி ருந்தது ,2
22441cc8-1677-9261-b609-a18b2e19d41b_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,வாத்தை பருத்த கலா மித்தது மிரிகன் ஆகி ஆகி மிவரும் ,2
22441cc8-1677-9261-b609-a18b2e19d41b_9.wav,"குளத்தைச் சுற்றி நின்று,",,தளத்தை சுற்றி நின்றது நின்று ,3
22441cc8-1677-9261-b609-a18b2e19d41b_10.wav,"'ஓ, வாத்து!' பாடலைப் பாடுகிறார்கள்.",,ஒரு வாத்தை பாதலை பாடிக்கிறார்கள்,3
22441cc8-1677-9261-b609-a18b2e19d41b_11.wav,என் பெயர் தமிழரசன்.,,பெயர் தமிழ் தமிழெசென் ,3
22441cc8-1677-9261-b609-a18b2e19d41b_12.wav,எனக்கு ஏழு வயது.,,என்னக்கு எரு வா எரு வாயதெ,3
22441cc8-1677-9261-b609-a18b2e19d41b_13.wav,நான் ரியா தொடக்கப் பள்ளியில் தொடக்கநிலை ஒன்று மாணவர்.,,நான் ராயா நா ரியா தொதிக்கி பள்ளியில் தொடிக்கி தொடக்க நிலை ஒரு ஒன்று மாணவர்,2
22441cc8-1677-9261-b609-a18b2e19d41b_14.wav,"எனது பள்ளி எனது வீட்டுக்கு அருகில் இருப்பதால், பள்ளிக்கு நடந்தே வருகிறேன்.",,பல்லி எனது வாட்டிக்கு அருக்கில் இருப்பி இருப்பதால் பல்லி இக்கு நடந்து வருகிறோன்,2
22441cc8-1677-9261-b609-a18b2e19d41b_15.wav,என் பள்ளி மிகப்பெரியது மற்றும் அழகானது.,,என் பள்ளி மிகப்பெரியது மிற்றும் மற்றும்  அரகானது ,3
22441cc8-1677-9261-b609-a18b2e19d41b_16.wav,என் தோழி பிரியா அழுகிறாள்.,,தெழி பெரியா அழுக்கிறாள் ,4
22441cc8-1677-9261-b609-a18b2e19d41b_17.wav,அவளது பணப்பை தொலைந்ததால் அவள் சோகமாக இருக்கிறாள்.,,அவளைது பணப்பெய் தொலைந்தால் அவள் சோ சோகமாக இருக்கிறாள்,3
22441cc8-1677-9261-b609-a18b2e19d41b_18.wav,நான் அவளிடம் பரிவுகொண்டு.,,நான் அவளிடு அவளிடம் பெரிவா கொண்டு,3
22441cc8-1677-9261-b609-a18b2e19d41b_19.wav,பிரியாவை பள்ளி உணவகத்திற்கு அழைத்து வந்தேன்.,,பிரியாவை பள்ளி உணவகத்தை க்கு ஆ ஆற்றை ஆற்றைத்திது வந்தேன் ,3
22441cc8-1677-9261-b609-a18b2e19d41b_20.wav,"நான் அவளுக்கு ஒரு கிண்ணம் சூப்பும்,  ஒரு பால் பாக்கெட்டும் வாங்கிக் கொடுத்தேன்.",,அவளைக்கு ஒரு கிண்ணம் கூப்பும் ஒரு பால் பாக்க பாக்கே பாக்கெடும் வாங்கி கொடுத்துதான் கொடுத்தேன்,2
22441cc8-1677-9261-b609-a18b2e19d41b_21.wav,பிரியா என்னைக் கட்டிப்பிடித்து நன்றி சொன்னாள்.,,ப்ரியா எனை என்னைக் கட்டி பா கட்டிபிடித்தது நன் நன்று சான்னால் ,2
22441cc8-1677-9261-b609-a18b2e19d41b_22.wav,என் தோழியை மகிழ்ச்சியாகப் பார்க்க விரும்புகிறேன்.,,ழியை மிகழ்ச்சியாக பார்க்க விரும்பிக்கிறோம்,3
22441cc8-1677-9261-b609-a18b2e19d41b_23.wav,நண்பர்களுக்கு உதவி தேவைப்பட்டால் உடனே உதவ வேண்டும் என்று என் பெற்றோர்கள் என்னிடம் கூறியிருக்கிறார்கள்.,,உதைவி தொ தேவைப்பட்டால் உடனை உதவை வேண்டும் என்று என் பற்றிறோர்கள் கூறியிக்கிறார்கள் ,2
22441cc8-1677-9261-b609-a18b2e19d41b_24.wav,பிரியாவுக்கு உதவி செய்ததில் நான் பெருமிதம் கொள்கிறேன்.,,பிரிச பிரியாவுக்கு உதவி செய்தால் பேருமிதம் கொள்க்ரேன்,2
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,குலகிரல் ஒரு பெரிய மரம் இருக்கிறது ,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,அந்த மரத்தில் ஒரு சிடு இருக்கிறது ,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_2.wav,அந்தக்கூட்டில் ஒரு பறவை வாழ்கிறது.,,அந்த சிட்டில் ஒரு பறவை வாழ்ந்தி இருந்தது ,4
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_3.wav,குளத்தில் சில தாமரை இலைகள் மிதக்கின்றன.,,குளத்தில் சில சில தாமரை இறைகள் மிதிக்கிறன ,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_4.wav,ஒரு தவளை ஒரு தாமரை இலையின் மீது துள்ளிக்குதித்து அமர்ந்தது.,,ஒரு தவளை ஒரு தவளை ஒரு தாமரை இலையில் மீது துள்ளி துள்ளிக்கொண்டது அமர் அமர்ந்து ,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_5.wav,அந்தத் தவளையும் பறவையும் ஏதோ பேசுகின்றன.,,தவளையும் பறவையும் எதா பூரி<UNC>,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,பூங்காவில் உரதில் இருந்து கொள் கொளத்தில்,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_7.wav,ஒரு வாத்து நீந்திக்கொண்டிருந்தது.,,ஒரு வாத்தி நீந்திக்கொண்டு  நீந்திக்கொண்றது ,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,அந்த வாத்தே பருத்த காளா முதி முருகன் ஆகிய முவரும் ,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_9.wav,"குளத்தைச் சுற்றி நின்று,",,குளத்தில் சிறிய நின்று ,4
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_10.wav,"'ஓ, வாத்து!' பாடலைப் பாடுகிறார்கள்.",,ஓ ஓ வாத்தி படலை படு படுகிறார்கள் ,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_11.wav,என் பெயர் தமிழரசன்.,,என் பெயர் தெமிலாரசன் தமிலரசன்,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_12.wav,எனக்கு ஏழு வயது.,,எனக்கு ஏலு வய,4
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_13.wav,நான் ரியா தொடக்கப் பள்ளியில் தொடக்கநிலை ஒன்று மாணவர்.,,நான் நான் ரியா தொடக்க பள்ளியில் தொடக்கி நிலை ஒன்று மாணவன் ,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_14.wav,"எனது பள்ளி எனது வீட்டுக்கு அருகில் இருப்பதால், பள்ளிக்கு நடந்தே வருகிறேன்.",,எனது பள்ளி என்ட வீட்டிகு அருகில் எருபத்தால் நான் நடந்தை வருக்கிறேன் வருகிறேன்,3
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_15.wav,என் பள்ளி மிகப்பெரியது மற்றும் அழகானது.,,என் பள்ளி மிக் மிக்<UNC> மரும் அலகானது,2
3035f394-1a19-86ef-d3fa-a1a9f16fad8d_16.wav,என் தோழி பிரியா அழுகிறாள்.,,என் தொழி பிரியா ப்ரியா இருக் அழுகிறாள் அவளு ,3
